freq,psd_x,psd_y,psd_z,psd_xyz
174.4,2.310e+04,8.558e+02,1.068e+03,2.503e+04
176.0,2.069e+04,9.022e+02,1.112e+03,2.271e+04
177.5,1.796e+04,1.015e+03,1.153e+03,2.013e+04
179.1,1.653e+04,1.124e+03,1.108e+03,1.876e+04
180.6,1.387e+04,1.216e+03,9.893e+02,1.607e+04
182.2,1.166e+04,1.538e+03,8.794e+02,1.407e+04
183.8,1.081e+04,1.916e+03,8.491e+02,1.358e+04
185.3,9.517e+03,2.183e+03,9.109e+02,1.261e+04
186.9,8.354e+03,2.582e+03,1.097e+03,1.203e+04
188.4,8.379e+03,3.196e+03,1.279e+03,1.285e+04
190.0,8.402e+03,3.902e+03,1.469e+03,1.377e+04
191.5,1.068e+04,4.444e+03,1.768e+03,1.690e+04
193.1,1.513e+04,5.082e+03,2.095e+03,2.231e+04
194.7,1.950e+04,5.985e+03,2.473e+03,2.796e+04
196.2,1.853e+04,6.643e+03,2.986e+03,2.815e+04
197.8,1.701e+04,6.791e+03,2.970e+03,2.677e+04
199.3,1.821e+04,7.006e+03,2.994e+03,2.821e+04
