freq,psd_x,psd_y,psd_z,psd_xyz
143.0,2.228e+03,1.766e+03,6.672e+03,1.067e+04
144.6,2.067e+03,1.676e+03,5.996e+03,9.739e+03
146.1,1.804e+03,1.555e+03,5.655e+03,9.014e+03
147.7,1.556e+03,1.495e+03,5.584e+03,8.636e+03
149.2,1.239e+03,1.377e+03,5.439e+03,8.054e+03
150.8,8.516e+02,1.113e+03,5.175e+03,7.140e+03
152.4,5.215e+02,7.751e+02,4.731e+03,6.027e+03
153.9,3.579e+02,5.496e+02,4.049e+03,4.957e+03
155.5,4.382e+02,6.147e+02,3.781e+03,4.833e+03
157.0,5.941e+02,7.811e+02,3.428e+03,4.803e+03
158.6,6.096e+02,7.873e+02,3.275e+03,4.671e+03
160.1,5.307e+02,7.485e+02,3.276e+03,4.555e+03
161.7,4.739e+02,7.185e+02,3.321e+03,4.513e+03
163.2,5.310e+02,7.959e+02,3.323e+03,4.650e+03
164.8,4.886e+02,6.820e+02,3.103e+03,4.273e+03
166.3,5.826e+02,7.675e+02,2.919e+03,4.269e+03
167.9,6.295e+02,8.279e+02,2.850e+03,4.308e+03
169.5,8.274e+02,9.746e+02,2.812e+03,4.614e+03
171.0,1.098e+03,1.210e+03,2.717e+03,5.025e+03
172.6,1.048e+03,1.072e+03,2.332e+03,4.453e+03
174.1,8.672e+02,7.766e+02,1.990e+03,3.634e+03
175.7,7.552e+02,6.458e+02,1.838e+03,3.239e+03
177.2,7.323e+02,5.605e+02,1.972e+03,3.265e+03
178.8,6.367e+02,5.766e+02,1.943e+03,3.156e+03
180.3,4.489e+02,5.360e+02,1.728e+03,2.713e+03
181.9,3.633e+02,4.562e+02,2.029e+03,2.848e+03
183.4,3.023e+02,3.963e+02,2.080e+03,2.778e+03
185.0,2.842e+02,3.483e+02,1.744e+03,2.376e+03
186.6,2.847e+02,3.119e+02,1.030e+03,1.626e+03
188.1,2.804e+02,2.825e+02,7.938e+02,1.357e+03
189.7,2.967e+02,2.875e+02,8.914e+02,1.476e+03
191.2,3.137e+02,2.999e+02,9.579e+02,1.572e+03
192.8,3.097e+02,3.051e+02,9.257e+02,1.540e+03
194.3,3.039e+02,2.857e+02,9.420e+02,1.532e+03
195.9,3.182e+02,2.751e+02,1.067e+03,1.660e+03
197.4,2.925e+02,2.725e+02,9.199e+02,1.485e+03
199.0,3.367e+02,2.772e+02,8.406e+02,1.455e+03
